Year,ID,Station,Capacity,On-Peak Energy,Off-Peak Energy,CF,Energy,Mbtu,Cold,Warm,Stup Cst,Fuel Cst,VO&M Cst,FO&M Cst,Oper Cst,Tot Cst,Ave Hrt
2016,1,Honolulu 8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,2,Honolulu 9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,3,Waiau 3,47.0348,9.818217936,1.2483132,2.678550763,11.06653114,134.9355803,,54,0,2.420094429,0.003308062,3.529761042,0,2.423402491,12193.12345
2016,4,Waiau 4,46.4761,10.275,1.425,2.86591864,11.7,141.0170992,,62,0,2.683419565,0.003497422,3.529408378,0,2.686916986,12052.74352
2016,5,Waiau 5,54.535,26.675,4.45,6.497431589,31.125,372.3782623,,146,0,6.195641977,0.009304038,4.200215549,0,6.204946015,11963.96023
2016,6,Waiau 6,53.7254,20.7,3.375,5.101457948,24.075,290.516764,,120,0,4.98588464,0.007196618,4.200215492,0,4.993081258,12067.1553
2016,7,Waiau 7,58.3424,15.94680524,3.183328109,3.732857229,19.13013335,208.8629374,,4,0,1.611993726,0.005718474,4.701258903,0,1.6177122,10918.0074
2016,8,Waiau 8,61.15,28.41799943,5.708067632,6.353272036,34.12606706,360.3066263,,4,0,2.648633348,0.010201132,4.766910957,0,2.65883448,10558.10579
2016,9,Waiau 9,52.9,17.56025545,0.173299024,3.816346458,17.73355448,272.7671351,,260,0,2.931189082,0,1.203795841,0,2.986789649,15381.41355
2016,10,Waiau 10,49.9,31.09959365,0.632249219,7.239397481,31.73184287,463.1650047,,324,0,4.772956973,0,1.203796235,0,4.872375205,14596.22142
2016,11,Kahe 1,57.1994,44.34397617,9.408580004,10.69831353,53.75255617,549.830342,,4,0,3.964164306,0.016067979,2.899717901,0,3.980232285,10228.91526
2016,12,Kahe 2,57.1834,89.93917191,20.17617319,21.92227105,110.1153451,1108.777102,,3,0,7.740045798,0.032916221,2.899471009,0,7.772962019,10069.23332
2016,13,Kahe 3,61.202,30.1013704,9.47611685,7.361906139,39.57748725,400.6687157,,4,0,2.943145516,0.011830697,2.958565835,0,2.954976214,10123.6522
2016,14,Kahe 4,60.2605,105.4672068,28.10391375,25.23408207,133.5711205,1333.372874,,4,0,9.327552114,0.039927737,2.945220351,0,9.367479851,9982.493737
2016,15,Kahe 5,134.608,498.9249318,253.6896688,63.65161696,752.6146006,7421.675824,,5,0,51.8468713,0.224975262,6.361356185,0,52.07184656,9861.190332
2016,16,Kahe 6,133.784,417.5955458,224.4748607,54.63691249,642.0704065,6586.430458,,5,0,47.19794955,0.191930847,6.361355153,0,47.3898804,10258.11249
2016,17,KALA1,90,452.34,323.1,98.08743169,775.44,6643.139338,,1,0,45.47262092,0,0,0,45.47262092,8566.928889
2016,18,KALA2,118,581.2794802,415.36,96.1532023,996.6394802,8012.51543,,2,0,54.84606874,0,0,0,54.84606874,8039.532438
2016,19,AES,180,904.68,646.2,98.08743169,1550.88,26872.32781,,1,0,50.12382442,0,0,0,50.12382442,17327.14833
2016,22,CIP1,112.15,15.36973899,2.234924126,1.787047572,17.60466312,271.2344887,,53,0,8.763835618,0.577904119,1.895934944,0,9.341739736,15406.96842
2016,30,HPOFF,35,0,128.1,41.66666667,128.1,4615.26,,366,0,0,0,0,0,0,36028.57143
2016,31,HPON,68.5,285.7252075,0,47.48600765,285.7252075,16445.25209,,366,0,0,0,0,0,0,57556.18218
2016,32,HPON_M,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,34,DR_Proxy,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,35,CBRE PV,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,36,CBRE WIND,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,38,West Loch,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,39,OffShrWind1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,40,OffShrWind2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,41,DSG,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,42,KSEP,1,1.9265,0,21.93192168,1.9265,1.9265,,366,0,0,0,0,0,0,1000
2016,43,KS2,5,11.2305,0.0167,25.60837887,11.2472,11.2472,,366,0,0,0,0,0,0,1000
2016,44,KREP,5,8.9975,0.0122,20.51388889,9.0097,9.0097,,366,0,0,0,0,0,0,1000
2016,45,HIE,1.7,8.42996,6.0214,96.77595628,14.45136,14.45136,,0,0,0,0,0,0,0,1000
2016,46,Chev,0.1,0.49588,0.3542,96.77595628,0.85008,0.85008,,0,0,0,0,0,0,0,1000
2016,48,WaiverPV1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,49,Kahuku,30,41.4318,30.1074,27.14754098,71.5392,71.5392,,201,0,0,0,0,0,0,1000
2016,50,Kawailoa,69,71.87868,47.25948,19.65664845,119.13816,119.13816,,7,0,0,0,0,0,0,1000
2016,51,DGPV,405.5269738,655.1057313,0.578288196,18.40697935,655.6840194,655.6840194,,366,0,0,0,0,0,0,1000
2016,52,GridExportDGPVC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,53,GridExportDGPVUC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,54,FIT1-2,18.503,30.72612735,0.022411423,19.21165442,30.74853877,30.74853877,,366,0,0,0,0,0,0,1000
2016,55,FIT3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,56,NPMWind,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,57,FutureWind,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,58,FuturePV,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,59,FuturePV2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,60,SCH-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,61,SCH-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,62,SCH-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,63,SCH-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,64,SCH-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,65,SCH-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,66,JBPHH16-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,67,JBPHH16-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,68,JBPHH16-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,69,JBPHH16-4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,70,JBPHH16-5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,71,JBPHH16-6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,72,LM6000CT-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2016,73,LM6000CT-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
