,KSEP,KSEP,KSEP,KS2,KS2,KS2,KREP,KREP,KREP,Kahuku,Kahuku,Kahuku,Kawailoa,Kawailoa,Kawailoa,WaiverPV1,WaiverPV1,WaiverPV1,NPMWind,NPMWind,NPMWind,FuturePV,FuturePV,FuturePV,FutureWind,FutureWind,FutureWind,WaiverPV2,WaiverPV2,WaiverPV2,FuturePV2,FuturePV2,FuturePV2,OffShrWind1,OffShrWind1,OffShrWind1,FIT3,FIT3,FIT3,DGPV,DGPV,DGPV,FIT1-2,FIT1-2,FIT1-2,R-GExpDGPVUC,R-GExpDGPVUC,R-GExpDGPVUC,R-GExpDGPVC,R-GExpDGPVC,R-GExpDGPVC,West Loch,West Loch,West Loch,CBRE PV,CBRE PV,CBRE PV,CBRE Wind,CBRE Wind,CBRE Wind,G-GExpDGPVC,G-GExpDGPVC,G-GExpDGPVC,G-GExpDGPVUC,G-GExpDGPVUC,G-GExpDGPVUC,J-GExpDGPVC,J-GExpDGPVC,J-GExpDGPVC,J-GExpDGPVUC,J-GExpDGPVUC,J-GExpDGPVUC
,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1.9,0.0,1.9,2.2,0.0,2.2,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,0.0,0.0,1.6,0.0,1.6,30.7,0.0,30.7,0.6,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2017,1.9,0.0,1.9,2.2,0.0,2.3,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.4,0.0,2.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.6,0.0,26.6,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2018,1.9,0.0,1.9,2.2,0.0,2.3,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2019,1.9,0.0,1.9,2.2,0.0,2.3,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2020,1.9,0.0,1.9,2.2,0.0,2.2,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2021,1.9,0.0,1.9,2.2,0.0,2.2,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2022,1.9,0.0,1.9,2.2,0.0,2.3,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2023,1.9,0.0,1.9,2.2,0.0,2.3,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2024,1.9,0.0,1.9,2.2,0.0,2.3,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,#N/A,#N/A,#N/A,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2025,1.9,0.0,1.9,2.2,0.0,2.2,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,2.9,2.1,5.0,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2026,1.9,0.0,1.9,2.2,0.0,2.2,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,2.9,2.1,5.0,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
2027,1.9,0.0,1.9,2.2,0.0,2.2,1.8,0.0,1.8,1.4,1.0,2.4,1.0,0.7,1.7,2.4,0.0,2.4,2.4,1.3,3.7,2.1,0.0,2.2,1.2,0.8,2.0,2.4,0.0,2.4,2.1,0.0,2.2,2.9,2.1,5.0,33.8,0.0,33.8,1.6,0.0,1.6,37.7,0.0,37.8,0.6,0.0,0.6,1.0,0.0,1.0,2.3,0.0,2.3,2.1,0.0,2.2,1.2,0.8,2.0,0.8,0.0,0.8,0.8,0.0,0.8,0.1,0.0,0.1,1.5,0.0,1.5
