,KSEP,KSEP,KSEP,KS2,KS2,KS2,KREP,KREP,KREP,Kahuku,Kahuku,Kahuku,Kawailoa,Kawailoa,Kawailoa,WaiverPV1,WaiverPV1,WaiverPV1,NPMWind,NPMWind,NPMWind,FuturePV,FuturePV,FuturePV,FutureWind,FutureWind,FutureWind,WaiverPV2,WaiverPV2,WaiverPV2,FuturePV2,FuturePV2,FuturePV2,OffShrWind1,OffShrWind1,OffShrWind1,FIT3,FIT3,FIT3,DGPV,DGPV,DGPV,FIT1-2,FIT1-2,FIT1-2,R-GExpDGPVUC,R-GExpDGPVUC,R-GExpDGPVUC,R-GExpDGPVC,R-GExpDGPVC,R-GExpDGPVC,West Loch,West Loch,West Loch,CBRE PV,CBRE PV,CBRE PV,CBRE Wind,CBRE Wind,CBRE Wind,G-GExpDGPVC,G-GExpDGPVC,G-GExpDGPVC,G-GExpDGPVUC,G-GExpDGPVUC,G-GExpDGPVUC,J-GExpDGPVC,J-GExpDGPVC,J-GExpDGPVC,J-GExpDGPVUC,J-GExpDGPVUC,J-GExpDGPVUC
,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.4,30.1,71.5,71.9,47.3,119.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.1,0.6,655.7,30.7,0.0,30.7,0.7,0.0,0.8,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.1,71.6,71.9,47.2,119.1,65.4,0.2,65.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,26.6,734.8,0.7,735.4,37.7,0.0,37.8,13.0,0.0,13.0,22.8,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
2018,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,774.5,0.7,775.2,37.7,0.0,37.8,22.6,0.1,22.6,39.6,0.0,39.6,0.0,0.0,0.0,32.2,0.1,32.3,12.2,7.8,19.9,0.7,0.0,0.7,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.3,119.1,65.4,0.2,65.6,58.5,30.9,89.5,0.0,0.0,0.0,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,819.5,0.7,820.2,37.7,0.0,37.8,32.7,0.1,32.8,57.5,0.0,57.5,46.5,0.0,46.6,32.2,0.1,32.3,12.2,7.8,20.0,0.9,0.0,0.9,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2020,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.4,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.6,30.9,89.5,374.5,0.7,375.2,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,862.0,0.8,862.8,37.7,0.0,37.8,41.9,0.1,42.0,73.6,0.0,73.6,46.6,0.0,46.6,32.2,0.1,32.3,12.3,7.9,20.1,1.0,0.0,1.0,1.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
2021,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.6,30.9,89.5,361.2,0.7,361.9,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,926.8,0.8,927.6,37.7,0.0,37.8,49.8,0.1,49.9,87.5,0.0,87.5,46.3,0.0,46.3,32.2,0.1,32.3,12.2,7.8,20.0,1.1,0.0,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
2022,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.5,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.7,30.8,89.5,472.5,0.9,473.4,0.0,0.0,0.0,259.8,0.6,260.4,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,960.1,0.8,961.0,37.7,0.0,37.8,54.0,0.1,54.1,94.9,0.0,94.9,46.1,0.0,46.1,32.2,0.1,32.3,12.2,7.8,20.1,1.1,0.0,1.1,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
2023,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.1,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.6,31.0,89.5,472.5,0.8,473.3,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,1018.3,0.9,1019.2,37.7,0.0,37.8,63.9,0.2,64.0,112.3,0.0,112.3,45.9,0.0,45.9,32.2,0.1,32.3,12.1,7.8,19.9,1.2,0.0,1.2,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
